title,lyrics
No Surprises (First Idea from a Soundcheck Somewhere),"Can you hit me with that note?. Should I stop, then?. He was sick of his clock stopping. It winds him up, that girl still. Snoring next to him. He was sick of his excuses. To not take off her dress when. Bleeding in the bathroom. The watch smashed, and he got restless. He sighs in broken English. With no alarms and no surprises. No alarms and no surprises. No alarms and no surprises. He was, he was. He was your final fit. Your final bellyache. With no alarms and no surprises. No alarms and no surprises. No alarms and no surprises, please"
Attention,"Pararara-pa-pa-pa. Pararara-pa-pa-pa. Pararara-pa-pa-pa. (Attention) A wishful spit in the eye to. A smiling brotherhood. (Attention) The unacceptable face of. The docile and the good. (Attention) A spontaneous feeling. The joy of the uprising. (Attention) An action with some meaning. A brief release of hope. Yeah if we stand up they'll. Mow us down again. A wishful spit in the eye to. A smiling brotherhood. The unacceptable face of. The docile and the good. (Attention) A spontaneous feeling. The joy of the uprising. (Attention) An action with some meaning. A brief release of hope. Yeah if we stand up they'll. Mow us down again. Pararara, pa-pa-pa, pararara, pa-pa-pa. (Attention). Pararara, pa-pa-pa, pararara, pa-pa-pa, pararara, pa-pa-pa. (Attention). Pararara, pa-pa-pa, pararara, pa-pa-pa, pararara, pa-pa-pa"
Ceremony,"This is why events unnerve me. They find it all, a different story. Notice whom wheels are turning. Turn again and turn towards this time. All she ask's the strength to hold me. Then again the same old story. World will travel, oh so quickly. Travel first and lean towards this time. Oh, I'll break them down, no mercy shown. Heaven knows, it's got to be this time. Watching her, these things she said. The times she cried. Too frail to wake this time. I'll break them down, no mercy shown. Heaven knows, it's got to be this time. Avenues all lined with trees. Picture me and then you start watching. Watching forever, forever. Forever, forever. Watching love grow, forever. Watching love grow, forever. Watching love grow, forever. Letting me know, forever."
Coke Babies,"Easy living, easy hold. Easy teething, easy fold. Easy listening, easy love. Easy answers to easy questions. Easy tumble, easy fall. Easy rumble, easy doll. I get up on easy love. I get up on easy questions."
Million Dollar Question,"Was always waiting for the crush. The car to drive right through the shops. To call in sick and late at work. And take a holiday. Was always tangled up in knots. To keep myself from speaking up. But no-one's listening anyway. They're just trying to bribe me. And if it's alright, then what am I doing here?. And if it's alright, this place is gassed by fear. And if it's alright, I'll tell you, 'cause you never understand. And if it's alright, I'll beg you, 'cause I'm a begging kind of man. Today I wrote a bad cheque. Packed a bag and took a jet. But no-one's looking anyway. I hope they miss me. I just think maybe I'm making a mistake"
I Froze Up,"You're the light wiping out my batteries. You're the cream in my airport-coffees. I don't know why I stick with you. If I had a choice. Like lambs into the slaughter. Like cows to the thunderbolt. You're the Genie of my lamp. I could have been anyone. But one day I froze up. But one day I froze up. But one day I froze up. Like this.... Oh, little boy.... Little boy, little boy. Oh, little boy.... Little boy, little boy. If you try to strangle the skylark. Try to cut it up, to see how it works. Stalactites and stalagmites. Rows of never open doors. Coz one day I froze up. Coz one day I froze up. Coz one day I froze up. Like this.... Colours won't . Colours won't . Colours won't"
The Morning Bell (In the Dark Version),(...kids in half). (...kids in half)
Cinnamon Girl,"I could be happy the rest of my life. With a cinnamon girl. A dreamer of pictures. I run in the night. You see us together. Chasing the moonlight. My cinnamon girl. Ten silver saxes, a bass with a bow. The drummer relaxes and waits between shows. For his cinnamon girl. A dreamer of pictures. I run in the night. You see us together. Chasing the moonlight. My cinnamon girl. Pa sent me money now. I'm gonna make it somehow. I need another chance. You see your baby loves to dance. Yeah, yeah, yeah"
The Thief,"Why must I be the thief?. Oh Lord please won't you tell me. Why must I be the thief. Why must I be the thief. He said to the hanging man. And how come you're the only one. That's better off, and always stares. Why must I be the thief. He asked of the hanging man. And how come you're the only one. Who gives me an open hand. Why must I be the thief. He cursed and then he cried. And the hanging man held out his hand. And looked beyond the sky. The thief that climbed the cross. ""We should have shared that other's fate."". But the Jesus man said ""Not now"". ""My brother, not now, it's far too late!"". (far too late) (7x). Do what you must. Take what you can. Steal the pride from every heart. Every angered man (3x). I am the thief. I am the thief. And you will run. Yes and you will hide. But I'll get you then. Yes I will. Because of you, because it's justified. I will get you yet. Cause it's justified. I will get you yet. It's justified. I will get you yet. It's justified"
Nothing Touches Me,"Nothing touches me man. These walls are three feet thick. Wouldn't take one of them little drills. To get through it. I try to make her listen. When I turn away she's split. I try to make her listen. When I turn away she's split. She went... Nothing touches me now. Nothing touches me now. Nothing touches me man. No matter how you split. Sticks and stones can get through bones. So I've given up looking out of it. I try to make her listen. When I turn away she's split. I try to make her listen. When I turn away she's split. She went... Nothing touches me now. Nothing touches me now. Nothing touches me now. Nothing touches me now. Laugh if you can, if you can, if you can, at me now. Laugh if you can, if you can, if you can, at me now. Laugh if you can, if you can, if you can, at me now. Laugh if you can, if you can, if you can, at me now"
The Jumbled Words of Climbing up the Walls Read by Little Dan Clements,"That keeps your toys in the basement. And if you get too far inside. You'll find you came out where you went in. So tuck the kids in safe tonight. And shut the eyes in the cupboard. I am the weapon that you needed. Keep an eye out for the neighbours. Anyway you turn. I'll be there. Open your skull. I'll be there. Climbing up the walls. I am the club and carving knife. We are friends til we die. You should not walk alone at night. You must show me your care. In the time when the lights go out. I am her face when she sleeps. I can't remember how it happened. Fifteen blows to the brain. I am the face on the news. I will strike when the- I will strike anytime. I will knock fifteen times. I have the smell of a local man. I can strike anytime. I am the pick in the ice in the quiet country lanes. I am the newspaper round. I am the eyes in the cupboard. I am the creak in the floorboards. I am the crack of the hammer. Overhead powerlines. I am the old, frightened. I am the years, ever... poording. (Ever parading). Ever parading. (Ok, thanks Dan)"
Come to Your Senses,"Come to your senses. Come to your senses. Somehow. That time you . Gone ... . Gone ... . Somehow. Somehow. Somehow. Uh uh uh uh. Somehow. Somehow. Somehow. Your love. Won't put over me . Won't put over me . Won't put . Don't run. 'Til you can't walk. 'Til you can't walk. 'Til you can't walk. 'Til you can't walk. 'Til you can't walk. 'Til you can't walk. 'Til you can't walk. Yeah, yeah, yeah. I wish you'd. Come to your senses. Come to your senses. Somehow. Your pot of gold. Is locked in boxes. Is locked in a bank vault. Behind closed doors. Behind closed doors. Behind closed doors. Behind closed doors. Oh. Oh. Ooooh. I wish you'd. Come to your senses. Come to your senses. Somehow. Your time. Gone until you're only . Gone until you're only . Gone until you're only . And how. And how. And how. And how. And how. And how. And how. Oh, you come up . The future. Is yours. And all the boxes . And let me . Come around. Oh how  I wish you come to your senses. Come to your senses. Somehow. You pot of gold. Is locked in boxes. Is locked in a bank vault. Behind closed doors. Behind closed doors. Behind closed doors. Behind closed doors. Behind closed doors. Behind closed doors. Uh uh. Uh uh. Uh uh. Uh uh. Uh uh"
Ed’s Scary Song,"And we beg for the scraps from your table. All we want is to be like you. Music to play your ___. Pump pumping sounds through the speakers below. Hello. I've tried so hard to keep still. They will chew you up. They will spit out your bones. Standing in the shadows at the end of the bed. I never said anything. I live a wallpaper life of playing guitar in a band. It seems so volatile. Oh my, oh my. He was a good man. And he said he was the best. They said that even when life spat in his face. He put everything back in its right place. A conflict of interest, you might say. Are you trying to bribe me?. _____ for my sins. We are plants, happy plants. Superhuman builders' day. See. ____________. I leave you for bitch of _____ and go green. Loved to death like egg mayonnaise. With a grin like roadkill. Fine, let's stay. Everything is alive. There is nothing but blue skies from now on. No ghosts, no skeletons. A man hovers in the dust, dust, dust."
Open the Floodgates,Get to the chorus. Open the floodgates. We want the good bits. Without the bullshit. And no heartache. Hold on. Hold on. No pain and. No suffering. And no one gets hurt. We absorb you. We absolve you. Open the floodgates. Hold on. Hold on
